Status,Shop code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country/Region,Postcode,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Labels,AdWords location extensions phone,Accessibility: Assisted listening devices (has_assisted_listening_devices),Accessibility: Assistive hearing loop (has_hearing_loop),Accessibility: Auracast broadcast audio (has_auracast_broadcast_audio),Accessibility: Wheelchair-accessible car park (has_wheelchair_accessible_parking),Accessibility: Wheelchair-accessible entrance (has_wheelchair_accessible_entrance),Accessibility: Wheelchair-accessible seating (has_wheelchair_accessible_seating),Accessibility: Wheelchair-accessible toilet (has_wheelchair_accessible_restroom),Amenities: Basketball court (has_basketball_court),Amenities: Business centre (has_business_center),Amenities: Car vacuum (has_car_vacuum),Amenities: Concierge (has_concierge),Amenities: Corner shop (has_onsite_convenience_store),Amenities: Elevator (has_elevator),Amenities: Fitness centre (has_fitness_center),Amenities: Gender-neutral toilets (has_restroom_unisex),Amenities: Golf simulator (has_golf_simulator),Amenities: Hot tub (has_hot_tub),Amenities: In-unit washer/dryer (has_in_unit_washer_dryer),Amenities: Maintenance (has_onsite_maintenance),Amenities: Outdoor space (has_private_outdoor_space),Amenities: Pets welcome (welcomes_pets),Amenities: Swimming pool (has_swimming_pool),Amenities: Toilet (has_restroom),Amenities: Wi-Fi (wi_fi),Crowd: LGBTQ+ friendly (welcomes_lgbtq),Crowd: Transgender safe space (is_transgender_safespace),From the business: Identifies as women-owned (is_owned_by_women),Offerings: Assembly service (has_service_assembly),Offerings: Car wash (has_car_wash),Offerings: Diesel fuel (sells_gas_diesel),Offerings: Ethanol-free petrol (sells_gas_ethanol_free),Offerings: Full service fuel (has_full_service_gas),Offerings: Furniture rental (has_furniture_rental),Offerings: Installation services (has_service_installation),Offerings: Oil change (has_oil_change),Offerings: Repair services (has_service_repair),Parking: Free multi-storey car park (has_parking_garage_free),Parking: Free of charge street parking (has_parking_street_free),Parking: Free parking lot (has_parking_lot_free),Parking: On-site parking (has_onsite_parking),Parking: Paid multi-storey car park (has_parking_garage_paid),Parking: Paid parking lot (has_parking_lot_paid),Parking: Paid street parking (has_parking_street_paid),Payments: Cash only (requires_cash_only),Payments: Cheques (pay_check),Payments: Credit cards (pay_credit_card),Payments: Credit cards (pay_credit_card_types_accepted): American Express (american_express),Payments: Credit cards (pay_credit_card_types_accepted): China Union Pay (china_union_pay),Payments: Credit cards (pay_credit_card_types_accepted): Diners Club (diners_club),Payments: Credit cards (pay_credit_card_types_accepted): Discover (discover),Payments: Credit cards (pay_credit_card_types_accepted): JCB (jcb),Payments: Credit cards (pay_credit_card_types_accepted): Mastercard (mastercard),Payments: Credit cards (pay_credit_card_types_accepted): VISA (visa),Payments: Debit cards (pay_debit_card),Payments: NFC mobile payments (pay_mobile_nfc),Pets: Dog park (has_dog_park),Pets: Dogs allowed (welcomes_dogs),Place page URLs: Appointment links (url_appointment),Place page URLs: Facebook (url_facebook),Place page URLs: Instagram (url_instagram),Place page URLs: LinkedIn (url_linkedin),Place page URLs: Pinterest (url_pinterest),Place page URLs: Texting number (url_text_messaging),Place page URLs: TikTok (url_tiktok),Place page URLs: Twitter (url_twitter),Place page URLs: WhatsApp (url_whatsapp),Place page URLs: YouTube (url_youtube),Place page attributes: Primary chat (preferred_messaging_service),Planning: Appointment required (requires_appointments),Recycling: Batteries (has_recycling_batteries),Recycling: Clothing (has_recycling_clothing),Recycling: Electronics (has_recycling_electronics),Recycling: Glass bottles (has_recycling_glass_bottles),Recycling: Ink cartridges (has_recycling_ink_cartridges),Recycling: Light bulbs (has_recycling_light_bulbs),Recycling: Metal cans (has_recycling_metal_cans),Service options: Delivery (has_delivery),Service options: In-store pick-up (has_in_store_pickup),Service options: In-store shopping (has_in_store_shopping),Service options: On-site services (has_onsite_services),Service options: Same-day delivery (has_delivery_same_day),Service options: White glove service (has_white_glove_service)
Not published,02438281507987956408,Sun King Store Jalingo,W8QV+W3R,A4,,,,,Gbaza,Taraba,NG,660213,0708 553 7878,,https://www.sunking.com/,Corporate office,,,,,,,,,,,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,07048449823128805554,Sun King Shop N'Dali,VP29+R4,,,,,,N’Dali,,BJ,,,,,Solar Energy Company,,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-12:00,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Not published,06251380432965397174,Sun King Shop Awendo,"Opposite Sub County Headquarters,Awendo-Migori Highway",,,,,,Awendo,,KE,40400,0743 641348,,https://www.sunking.com/,Solar Energy Company,,,,,,,,,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,13749292185976933316,Sun King South Africa Head Office,345 Rivonia Road,,,,,Rivonia,Johannesburg,,ZA,2123,080 122 9090,,https://sunking.com/,Solar Energy Company,,08:00-13:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,"2025-12-16: 09:00-18:00, 2025-12-25: x, 2025-12-26: 09:00-18:00","We design, distribute, install, and finance solar energy solutions for
those who cannot access or afford traditional electrical grid
connections.",,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,17612772188604731323,Sun King Shop Mlandizi,7PJV+C6W,,,,,,Mlandizi,,TZ,,0800 78 1023,,https://www.sunking.com/,Solar Energy Company,,00:00-03:00,08:00-24:00,"00:00-05:00, 08:00-24:00","00:00-05:00, 08:00-24:00","00:00-05:00, 08:00-24:00","00:00-05:00, 08:00-24:00","00:00-05:00, 09:00-24:00",,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,09438956787817063042,Sun King Store Akinyele,"Bayse One Properties, No 5, IPU Town Planning Rd, Oluyole, Ibadan, Oyo State",,,,,,Akinyele,,NG,,0800 786 5466,,https://www.sunking.com/,Solar Energy Company,Solar energy equipment supplier,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,09:00-12:00,,Sun King provides affordable solar energy products and pay-as-you-go financing across Africa.,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,15319582368075014239,Sun King Shop Tala,"Along Kangundo road next to shell petrol station, near Posta (tala branch)",,,,,,Tala,,KE,,0111 809984,,https://sunking.com/,Solar Energy Company,,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,09:00-14:00,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,00956846500112007147,Sun King Shop Chwele,Chwele Market opposite National Oil,QG9V+G9M,,,,,Chwele,,KE,50202,0758 531565,,https://sunking.com/,Solar Energy Company,,,,,,,,,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,11335068085735199429,Sun King Shop Ruai,PXHW+6WF,Kangundo Road,,,,,Nairobi,,KE,,0706 422135,,https://www.sunking.com/,Solar Energy Company,,,,,,,,,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
Published,16291394859540374578,Sun King Store Ekpoma,10 Royal Market Road,,,,,,Ekpoma,Edo,NG,310101,,,http://ng.sunking.com/,Solar Energy Company,,,,,,,,,,,,,,,,[NOT APPLICABLE],,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,,,,,,,,,,,[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],[NOT APPLICABLE],,[NOT APPLICABLE],[NOT APPLICABLE]
